ID,YearStart,YearEnd,Description,LocationAbbr,LocationDesc,DataSource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeId,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation_Lat,GeoLocation_Long,ClassId,TopicId,QuestionId,ResponseId,StratficationCategory1,StratificationCategoryId1,Stratification1,StratificationId1,StratificationCategory2,StratificationCategoryId2,Stratification2,StratificationId2,StratificationCategory3,StratificationCategoryId3,Stratification3,StratificationId3,LocationDisplayOrder,FootnoteSymbol,FootnoteText,URL,FootnoteHeading
9798,2015,2015,2015,FL,Florida,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,26.8,,,25.5,28.1,"8,985",28.93204038,-81.92896054,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,12,,,,
19489,2015,2015,2015,GA,Georgia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.7,,,28.8,32.6,"4,269",32.83968109,-83.62758035,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,13,,,,
21984,2015,2015,2015,HI,Hawaii,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,22.7,,,21.3,24.1,"6,822",21.30485044,-157.8577494,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,15,,,,
8637,2015,2015,2015,ID,Idaho,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,28.6,,,26.9,30.4,"5,358",43.68263001,-114.36373,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,16,,,,
11851,2015,2015,2015,IL,Illinois,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.8,,,29.2,32.4,"5,081",40.48501028,-88.99771018,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,17,,,,
30763,2015,2015,2015,IN,Indiana,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,31.3,,,29.5,33.1,"5,647",39.76691045,-86.14996019,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,18,,,,
4511,2015,2015,2015,IA,Iowa,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,32.1,,,30.5,33.8,"5,614",42.46940091,-93.81649056,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,19,,,,
30741,2015,2015,2015,KS,Kansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.2,,,33.4,35,"20,930",38.3477403,-98.20078123,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,20,,,,
37558,2015,2015,2015,KY,Kentucky,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.6,,,32.9,36.3,"8,130",37.64597027,-84.77497105,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,21,,,,
33631,2015,2015,2015,LA,Louisiana,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,36.2,,,34.3,38.1,"4,324",31.31266064,-92.44568007,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,22,,,,
16964,2015,2015,2015,ME,Maine,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30,,,28.6,31.4,"8,579",45.25422889,-68.98503134,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,23,,,,
38584,2015,2015,2015,MD,Maryland,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,28.9,,,27.2,30.7,"11,357",39.29058096,-76.60926011,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,24,,,,
12596,2015,2015,2015,MA,Massachusetts,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,24.3,,,23,25.6,"8,206",42.27687047,-72.08269068,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,25,,,,
30528,2015,2015,2015,MI,Michigan,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,31.2,,,29.9,32.4,"8,329",44.66131954,-84.71439027,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,26,,,,
23220,2015,2015,2015,MN,Minnesota,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,26.1,,,25.3,27,"15,340",46.35564874,-94.7942005,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,27,,,,
11557,2015,2015,2015,MS,Mississippi,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,35.6,,,33.8,37.5,"5,664",32.7455101,-89.53803083,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,28,,,,
32850,2015,2015,2015,MO,Missouri,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,32.4,,,30.8,34,"6,764",38.63579078,-92.56630005,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,29,,,,
35051,2015,2015,2015,MT,Montana,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,23.6,,,22.1,25.2,"5,563",47.06652897,-109.4244206,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,30,,,,
25863,2015,2015,2015,NE,Nebraska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,31.4,,,30.3,32.5,"16,265",41.64104099,-99.36572062,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,31,,,,
5164,2015,2015,2015,NV,Nevada,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,26.7,,,24.1,29.5,"2,701",39.49324039,-117.0718406,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,32,,,,
8695,2015,2015,2015,NH,New Hampshire,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,26.3,,,24.8,27.9,"6,366",43.65595011,-71.50036092,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,33,,,,
34945,2015,2015,2015,NJ,New Jersey,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25.6,,,24.3,26.9,"10,184",40.13057005,-74.27369129,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,34,,,,
17759,2015,2015,2015,NM,New Mexico,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,28.8,,,27.1,30.6,"6,206",34.52088095,-106.240581,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,35,,,,
21989,2015,2015,2015,NY,New York,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25,,,24,26.1,"11,281",42.82700103,-75.54397043,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,36,,,,
17599,2015,2015,2015,NC,North Carolina,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.1,,,28.7,31.5,"6,019",35.46622098,-79.15925046,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,37,,,,
36838,2015,2015,2015,ND,North Dakota,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,31,,,29.3,32.8,"4,612",47.47531978,-100.118421,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,38,,,,
10693,2015,2015,2015,OH,Ohio,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.8,,,28.4,31.2,"10,924",40.06021014,-82.40426006,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,39,,,,
15434,2015,2015,2015,OK,Oklahoma,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,33.9,,,32.2,35.6,"6,521",35.47203136,-97.52107021,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,40,,,,
3083,2015,2015,2015,OR,Oregon,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.1,,,28.4,31.8,"4,905",44.56744942,-120.1550313,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,41,,,,
8891,2015,2015,2015,PA,Pennsylvania,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30,,,28.4,31.6,"5,335",40.79373015,-77.86070029,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,42,,,,
33725,2015,2015,2015,RI,Rhode Island,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,26,,,24.3,27.7,"5,668",41.70828019,-71.52247031,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,44,,,,
4156,2015,2015,2015,SC,South Carolina,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,31.7,,,30.5,33,"10,865",33.9988213,-81.04537121,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,45,,,,
23036,2015,2015,2015,SD,South Dakota,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.4,,,28.5,32.3,"6,707",44.35313005,-100.3735306,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,46,,,,
30967,2015,2015,2015,TN,Tennessee,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,33.8,,,31.9,35.7,"5,475",35.68094058,-85.77449091,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,47,,,,
33374,2015,2015,2015,TX,Texas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,32.4,,,30.9,33.9,"13,230",31.82724041,-99.42677021,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,48,,,,
24208,2015,2015,2015,UT,Utah,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,24.5,,,23.5,25.5,"10,455",39.36070017,-111.5871306,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,49,,,,
23683,2015,2015,2015,VT,Vermont,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25.1,,,23.8,26.6,"6,008",43.62538124,-72.51764079,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,50,,,,
17900,2015,2015,2015,VA,Virginia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.2,,,27.9,30.6,"8,030",37.54268067,-78.45789046,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,51,,,,
16130,2015,2015,2015,WA,Washington,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,26.4,,,25.5,27.4,"14,694",47.52227863,-120.4700108,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,53,,,,
16044,2015,2015,2015,WV,West Virginia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,35.6,,,34.1,37.1,"5,471",38.6655102,-80.71264014,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,54,,,,
21766,2015,2015,2015,WI,Wisconsin,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.7,,,29,32.4,"5,755",44.39319117,-89.81637074,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,55,,,,
9531,2015,2015,2015,WY,Wyoming,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29,,,27,31.1,"5,010",43.23554134,-108.1098304,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,56,,,,
1162,2015,2015,2015,GU,Guam,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,31.6,,,28.2,35.1,"1,588",13.444304,144.793731,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,66,,,,
867,2015,2015,2015,PR,Puerto Rico,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.5,,,28,31.1,"5,154",18.220833,-66.590149,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,72,,,,
